x,y,objet
35.764,9.99967,carre
36.8867,9.99939,carre
35.7637,11.1225,carre
36.8867,11.1225,carre
35.7637,12.2449,carre
36.8867,12.2449,carre
38.0092,9.99939,carre
39.1316,9.99939,carre
38.0092,11.1225,carre
39.1316,11.1225,carre
38.0092,12.2449,carre
39.1319,12.2452,carre
40.2541,9.99939,carre
41.3766,9.99939,carre
42.499,9.99939,carre
40.2541,11.1225,carre
41.3765,11.1225,carre
42.499,11.1225,carre
40.2541,12.2449,carre
41.3766,12.2449,carre
42.499,12.2449,carre
43.6212,9.99967,carre
44.7439,9.99939,carre
43.6215,11.1225,carre
44.7439,11.1225,carre
43.6209,12.2449,carre
44.7439,12.2449,carre
45.8665,9.99939,carre
46.9888,9.99939,carre
45.8665,11.1225,carre
46.9888,11.1225,carre
45.8662,12.2452,carre
46.9888,12.2449,carre
48.1114,9.99939,carre
49.2338,9.99939,carre
48.1114,11.1225,carre
49.2338,11.1225,carre
48.1114,12.2449,carre
49.2341,12.2452,carre
50.3563,9.99939,carre
51.479,9.99967,carre
50.3563,11.1225,carre
51.4787,11.1225,carre
50.3563,12.2449,carre
51.479,12.2452,carre
52.6012,9.99939,carre
53.7237,9.99939,carre
54.8461,9.99939,carre
52.6012,11.1225,carre
53.7237,11.1225,carre
54.8461,11.1225,carre
52.6012,12.2449,carre
53.7237,12.2449,carre
54.8461,12.2449,carre
55.9683,9.99967,carre
57.091,9.99939,carre
55.9686,11.1225,carre
57.091,11.1225,carre
55.9683,12.2452,carre
57.091,12.2449,carre
58.2135,9.99939,carre
59.3359,9.99939,carre
58.2135,11.1225,carre
59.3359,11.1225,carre
58.2135,12.2449,carre
59.3359,12.2449,carre
60.4585,9.99939,carre
61.5812,9.99967,carre
60.4585,11.1225,carre
61.5809,11.1225,carre
60.4585,12.2449,carre
61.5811,12.2452,carre
62.7034,9.99939,carre
63.8258,9.99939,carre
64.9483,9.99939,carre
62.7034,11.1225,carre
63.8258,11.1225,carre
64.9483,11.1225,carre
62.7034,12.2449,carre
63.8258,12.2449,carre
64.9483,12.2449,carre
66.0705,9.99967,carre
67.1932,9.99939,carre
