x,y,objet
35.7643,10,carre
36.8867,10,carre
35.7643,11.1225,carre
36.8867,11.1225,carre
35.7643,12.2449,carre
36.8867,12.2449,carre
38.0092,10,carre
39.1317,10,carre
38.0092,11.1225,carre
39.1317,11.1225,carre
38.0092,12.2449,carre
39.1317,12.2449,carre
40.2541,10,carre
41.3766,10,carre
42.499,10,carre
40.2541,11.1225,carre
41.3766,11.1225,carre
42.499,11.1225,carre
40.2541,12.2449,carre
41.3766,12.2449,carre
42.499,12.2449,carre
43.6215,10,carre
44.744,10,carre
43.6215,11.1225,carre
44.744,11.1225,carre
43.6215,12.2449,carre
44.744,12.2449,carre
45.8664,10,carre
46.9889,10,carre
45.8664,11.1225,carre
46.9889,11.1225,carre
45.8664,12.2449,carre
46.9889,12.2449,carre
48.1113,10,carre
49.2338,10,carre
48.1113,11.1225,carre
49.2338,11.1225,carre
48.1113,12.2449,carre
49.2338,12.2449,carre
50.3563,10,carre
51.4787,10,carre
50.3563,11.1225,carre
51.4787,11.1225,carre
50.3563,12.2449,carre
51.4787,12.2449,carre
52.6012,10,carre
53.7237,10,carre
54.8461,10,carre
52.6012,11.1225,carre
53.7237,11.1225,carre
54.8461,11.1225,carre
52.6012,12.2449,carre
53.7237,12.2449,carre
54.8461,12.2449,carre
55.9686,10,carre
57.091,10,carre
55.9686,11.1225,carre
57.091,11.1225,carre
55.9686,12.2449,carre
57.091,12.2449,carre
58.2135,10,carre
59.336,10,carre
58.2135,11.1225,carre
59.336,11.1225,carre
58.2135,12.2449,carre
59.336,12.2449,carre
60.4584,10,carre
61.5809,10,carre
60.4584,11.1225,carre
61.5809,11.1225,carre
60.4584,12.2449,carre
61.5809,12.2449,carre
62.7034,10,carre
63.8258,10,carre
64.9483,10,carre
62.7034,11.1225,carre
63.8258,11.1225,carre
64.9483,11.1225,carre
62.7034,12.2449,carre
63.8258,12.2449,carre
64.9483,12.2449,carre
66.0707,10,carre
67.1932,10,carre
66.0707,11.1225,carre
67.1932,11.1225,carre
66.0707,12.2449,carre
67.1932,12.2449,carre
68.3157,10,carre
69.4381,10,carre
68.3157,11.1225,carre
69.4381,11.1225,carre
68.3157,12.2449,carre
69.4381,12.2449,carre
70.5606,10,carre
71.6831,10,carre
70.5606,11.1225,carre
71.6831,11.1225,carre
70.5606,12.2449,carre
71.6831,12.2449,carre
72.8055,10,carre
73.928,10,carre
72.8055,11.1225,carre
73.928,11.1225,carre
72.8055,12.2449,carre
73.928,12.2449,carre
75.0504,10,carre
76.1729,10,carre
77.2954,10,carre
75.0504,11.1225,carre
76.1729,11.1225,carre
77.2954,11.1225,carre
75.0504,12.2449,carre
76.1729,12.2449,carre
77.2954,12.2449,carre
78.4178,10,carre
79.5403,10,carre
78.4178,11.1225,carre
79.5403,11.1225,carre
78.4178,12.2449,carre
79.5403,12.2449,carre
80.6627,10,carre
81.7852,10,carre
80.6627,11.1225,carre
81.7852,11.1225,carre
80.6627,12.2449,carre
81.7852,12.2449,carre
82.9077,10,carre
84.0301,10,carre
82.9077,11.1225,carre
84.0301,11.1225,carre
82.9077,12.2449,carre
84.0301,12.2449,carre
85.1526,10,carre
86.2751,10,carre
87.3975,10,carre
85.1526,11.1225,carre
86.2751,11.1225,carre
87.3975,11.1225,carre
85.1526,12.2449,carre
86.2751,12.2449,carre
87.3975,12.2449,carre
88.52,10,carre
89.6424,10,carre
88.52,11.1225,carre
89.6424,11.1225,carre
88.52,12.2449,carre
89.6424,12.2449,carre
90.7649,10,carre
91.8874,10,carre
90.7649,11.1225,carre
91.8874,11.1225,carre
90.7649,12.2449,carre
91.8874,12.2449,carre
93.0098,10,carre
94.1323,10,carre
93.0098,11.1225,carre
94.1323,11.1225,carre
93.0098,12.2449,carre
94.1323,12.2449,carre
95.2548,10,carre
96.3772,10,carre
97.4997,10,carre
95.2548,11.1225,carre
96.3772,11.1225,carre
97.4997,11.1225,carre
95.2548,12.2449,carre
96.3772,12.2449,carre
97.4997,12.2449,carre
98.6221,10,carre
99.7446,10,carre
98.6221,11.1225,carre
99.7446,11.1225,carre
98.6221,12.2449,carre
99.7446,12.2449,carre
100.867,10,carre
101.99,10,carre
100.867,11.1225,carre
101.99,11.1225,carre
100.867,12.2449,carre
101.99,12.2449,carre
103.112,10,carre
104.234,10,carre
103.112,11.1225,carre
104.234,11.1225,carre
103.112,12.2449,carre
104.234,12.2449,carre
105.357,10,carre
106.479,10,carre
105.357,11.1225,carre
106.479,11.1225,carre
105.357,12.2449,carre
106.479,12.2449,carre
107.602,10,carre
108.724,10,carre
109.847,10,carre
107.602,11.1225,carre
108.724,11.1225,carre
109.847,11.1225,carre
107.602,12.2449,carre
108.724,12.2449,carre
109.847,12.2449,carre
110.969,10,carre
112.092,10,carre
110.969,11.1225,carre
112.092,11.1225,carre
110.969,12.2449,carre
112.092,12.2449,carre
113.214,10,carre
114.337,10,carre
113.214,11.1225,carre
114.337,11.1225,carre
113.214,12.2449,carre
114.337,12.2449,carre
115.459,10,carre
116.582,10,carre
115.459,11.1225,carre
116.582,11.1225,carre
115.459,12.2449,carre
116.582,12.2449,carre
117.704,10,carre
118.826,10,carre
119.949,10,carre
117.704,11.1225,carre
118.826,11.1225,carre
119.949,11.1225,carre
117.704,12.2449,carre
118.826,12.2449,carre
119.949,12.2449,carre
121.071,10,carre
122.194,10,carre
121.071,11.1225,carre
122.194,11.1225,carre
121.071,12.2449,carre
122.194,12.2449,carre
123.316,10,carre
124.439,10,carre
123.316,11.1225,carre
124.439,11.1225,carre
123.316,12.2449,carre
124.439,12.2449,carre
125.561,10,carre
126.684,10,carre
125.561,11.1225,carre
126.684,11.1225,carre
125.561,12.2449,carre
126.684,12.2449,carre
127.806,10,carre
128.929,10,carre
127.806,11.1225,carre
128.929,11.1225,carre
127.806,12.2449,carre
128.929,12.2449,carre
130.051,10,carre
131.174,10,carre
132.296,10,carre
130.051,11.1225,carre
131.174,11.1225,carre
132.296,11.1225,carre
130.051,12.2449,carre
131.174,12.2449,carre
132.296,12.2449,carre
133.418,10,carre
134.541,10,carre
133.418,11.1225,carre
134.541,11.1225,carre
133.418,12.2449,carre
134.541,12.2449,carre
135.663,10,carre
136.786,10,carre
135.663,11.1225,carre
136.786,11.1225,carre
135.663,12.2449,carre
